dataset,pipeline,stressor,montage,dropout_fraction,region,n_subjects,mean_roc_auc,roc_auc_ci_low,roc_auc_ci_high,mean_balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mean_brier_score,brier_score_ci_low,brier_score_ci_high,mean_ece,ece_ci_low,ece_ci_high,mean_n_channels
PhysionetMotorImagery,riemann_lr,channel_dropout,all_channels,0.1,,109,0.6396388888888888,0.6053355113810791,0.6756691867938823,0.5504082568807339,0.5383507502276115,0.5649830687042472,0.2887576817590166,0.2799480628831466,0.29672781295777917,0.3231264921841642,0.3173369308560373,0.3290488818469204,64.0
PhysionetMotorImagery,riemann_lr,channel_dropout,all_channels,0.2,,109,0.6088063200815496,0.5778744199452466,0.6414383007405685,0.5266024464831806,0.5187990638833571,0.5359036659420602,0.32603495169403457,0.31835032959457793,0.33403899508918555,0.34448807259869535,0.3377468942171301,0.35174347401168315,64.0
PhysionetMotorImagery,riemann_lr,channel_dropout,all_channels,0.3,,109,0.5903761467889909,0.5614509142126684,0.6203158864429734,0.5167798165137614,0.5108262309056905,0.5236535096013624,0.34717170531273206,0.3390191021613758,0.35570564286446454,0.3568747060217922,0.34918728577549385,0.3656753877821305,64.0
PhysionetMotorImagery,riemann_lr,channel_dropout,all_channels,0.5,,109,0.556894240570846,0.5332689530595378,0.5837914074920965,0.5072492354740061,0.5037316170143669,0.5112005456094678,0.38341818936640154,0.37486631701303724,0.3930482893293241,0.38130230978361496,0.3720105523449982,0.39228202084250496,64.0
PhysionetMotorImagery,riemann_lr,clean,all_channels,0.0,,109,0.6754026503567789,0.6386307501934085,0.7108375752345812,0.6427675840978593,0.6127018780577665,0.6736357937156696,0.2223497516541647,0.20895216054932508,0.23341628760825645,0.27883647877062373,0.27117651483603156,0.28621236156914015,64.0
PhysionetMotorImagery,riemann_lr,reduced_montage,motor_core,0.0,,109,0.6391641182466871,0.6035225509345561,0.6734895909451593,0.6057645259938839,0.5770821761929261,0.6340380330754191,0.2281387030624685,0.21847423743976951,0.2360123443468771,0.20982973724286663,0.19907375396172888,0.22068725463580494,3.0
PhysionetMotorImagery,riemann_lr,reduced_montage,motor_extended,0.0,,109,0.6768705402650357,0.6380955862314046,0.71297275518522,0.6426911314984708,0.6121056832994,0.6737613296871798,0.21528427820927287,0.20381428747066027,0.2259339531872383,0.24801781241091816,0.2404607635708476,0.25576115114177356,9.0
PhysionetMotorImagery,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,109,0.6625815494393477,0.6251070863879215,0.700023522609936,0.59131498470948,0.570706912267767,0.6177866920109286,0.24990498594153313,0.23761779100546931,0.26041747912858526,0.2924446713880108,0.2833875380826962,0.3007038612316482,64.0
PhysionetMotorImagery,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,109,0.6362181447502547,0.6029937133811847,0.6700545366859725,0.526788990825688,0.5145405244458743,0.5423241590214067,0.3196496755370947,0.30679786735927134,0.333062980378677,0.34487462036901256,0.3330083554499693,0.35749586807294753,64.0
PhysionetMotorImagery,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,109,0.6275433231396536,0.5970654426140585,0.6601675238886736,0.5180886850152906,0.5081117813636755,0.5306856125508473,0.3312712515634184,0.3189810192107293,0.34485461548910834,0.3539088432719773,0.3418458841092106,0.3671811905546808,64.0
