dataset,pipeline,stressor,montage,dropout_fraction,region,n_subjects,mean_roc_auc,roc_auc_ci_low,roc_auc_ci_high,mean_balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mean_brier_score,brier_score_ci_low,brier_score_ci_high,mean_ece,ece_ci_low,ece_ci_high,mean_n_channels
PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.1,,109,0.5848789500509685,0.5619975944372041,0.6079473062327346,0.5250948012232417,0.5184364585495176,0.5340636344308911,0.44578175343623466,0.43561110167568207,0.45394432270539276,0.4619503500515028,0.4530867805625625,0.46907779273581124,64.0
PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.2,,109,0.5548023700305811,0.5369293818286838,0.5739577382937155,0.5113593272171254,0.5073248478562687,0.5166018921331518,0.4649252880621504,0.45810586871595965,0.4706639077572996,0.4771163149145484,0.4713229590627259,0.4821265244043225,64.0
PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.3,,109,0.5436228338430174,0.5277218022837706,0.5631009497451902,0.5091941896024464,0.5057272888132004,0.514454938203722,0.47033965875739714,0.46410071432382255,0.47580323994580676,0.48113040909620863,0.4758027697276207,0.485909306798071,64.0
PhysionetMotorImagery,csp_lda,channel_dropout,all_channels,0.5,,109,0.5277488532110092,0.5142543124418004,0.5432345492405899,0.5059954128440366,0.5031711441481429,0.51,0.473384232955545,0.46772543967244573,0.4784044564117628,0.4835337998759149,0.4786135950419155,0.4880584832004154,64.0
PhysionetMotorImagery,csp_lda,clean,all_channels,0.0,,109,0.6550000000000001,0.6227042775704003,0.6877971801204377,0.6192660550458715,0.5921224718679743,0.6484465671713562,0.30155915504968567,0.2789651425020332,0.32208916296943396,0.3496978650592944,0.3248497919144848,0.3718626461782654,64.0
PhysionetMotorImagery,csp_lda,reduced_montage,motor_core,0.0,,109,0.6482925586136596,0.6144617263449261,0.6817431192660554,0.6120489296636084,0.5844342507645259,0.6415061408288676,0.23443358412024987,0.22050332967516562,0.24706600560512626,0.2855387702348318,0.27088234857650473,0.29724702260322944,3.0
PhysionetMotorImagery,csp_lda,reduced_montage,motor_extended,0.0,,109,0.6686544342507645,0.6324084833871702,0.7043682901906201,0.6306574923547399,0.6008397166346042,0.6618583159865377,0.2600403485734352,0.23924178696090567,0.2798361684712908,0.32755333157720273,0.30507268853148733,0.3491414477758328,9.0
PhysionetMotorImagery,csp_lda,region_dropout,all_channels,0.046875,midline_motor_strip,109,0.6066106014271152,0.5795278068028198,0.6364574641212657,0.5322782874617737,0.5209480122324159,0.5466699925430224,0.4312714355123316,0.4154120541007697,0.44389892779084966,0.449023625069969,0.4350625163501194,0.46058223604595205,64.0
PhysionetMotorImagery,csp_lda,region_dropout,all_channels,0.140625,left_motor_strip,109,0.5973521916411826,0.5721378932297789,0.6279051097421552,0.5317584097859328,0.5206723808132934,0.5469567751705046,0.42706652636008907,0.4110576353082816,0.43949979439701653,0.44723923953229056,0.4321838305250296,0.45805670797528003,64.0
PhysionetMotorImagery,csp_lda,region_dropout,all_channels,0.140625,right_motor_strip,109,0.5936162079510703,0.5672854308452282,0.6220669523527608,0.529434250764526,0.5178316985807233,0.543512379043693,0.4277599956326238,0.4123378116496439,0.4416104327846255,0.44978063002139645,0.43653761015171605,0.46197685922212245,64.0
